src	trg	src_ctx
- Blair, you know I'm right.	- Blair, du weißt, dass ich Recht habe.	No matter what he says now, he'll always wonder, and it will eat away at him. - Chuck, she's here now, and she wants to talk to you. - Whatever she has to say, it's better than not knowing.	 
We're just having a little problem with Jackie Lemanczyk, this Polish woman.	Wir haben da ein kleines Problem mit Jackie Lemanczyk, dieser Polin.	What sort of problem? - - She doesn't work here anymore. - - Was she fired?	 
Emery, cyper can't cure him.	Emery, Cyper kann ihn nicht heilen.	- She knows about cyper? - - She can be trusted. Yeah? - What about her Red Hawk boyfriend?	 
- May I come with you to greet Tam?	- Darf ich mitkommen?	- You know him? - He was at the university on Betazed when I was studying psychology there. - I see. He was a colleague of yours.	 
Kimani will not surrender peacefully. Not this time.	Kimani wird sich nicht friedlich ergeben, nicht diesmal.	- He will try to kill you. - - Perhaps. - - Don't come along.	 
I had a patient a few years ago.  [pr] name was Ted Casey.	Ich hatte vor einigen Jahren einen Patienten namens Ted Casey.	Ted sodomized a 7-year-old girl. - His lawyers asked me to have a look at him because after his deeds were done he climbed into the trees of the forest where he killed her and howled like a dog. - Ted never went to prison because everyone, including me, believed he was sick.	 
- He's my husband! Artie! Artie!	-Er ist mein Mann!	- We can't help him if-- - And at the end of the day... they finally came to see me with the pictures. - Why protect a friend who betrayed you like that?	 
Robbie Turner died of septicaemia at Bray-Dunes on June the first, 1940,	Turner am 1. Juni 1940 in Bray-les-Dunes an einer Blutvergiftung starb.	the last day of the evacuation. - Cheerio, pal. - And I was never able to put things right with my sister, Cecilia, because she was killed on the 15th of October, 1940, by the bomb that destroyed the gas and water mains above Balham tube station.	 
A guy called Casey, but he's away for the summer.	Ein Typ namens Casey, aber er ist im Sommer verreist.	The one next door is registered in the name of John Forbes. - The landlady thinks it's phony. - She ain't seen him in a couple days.	 
You remember Jaime?  [pr] beat it to Europe.	Jaime ist nach Europa abgehauen.	Was he involved in something? - - I don't know. - Dad, is Nadia in Quito?	 
- And Mr. Sutton had [pr] phone.	- Mr. Sutton hatte ihr Handy.	He always collected his students' phones before class. - Sutton knew she was about to go to the principal and complain. - He went through her phone, looking for something to discredit her,	 
I looked forward to going head-to-head with the great Casey...	Ich freute mich auf ein Treffen mit Casey...	Man, that was good. - Did he teach you that? - Pity you could have been very, very good.	 
I wonder what Alva's doing today.	Was Alva wohl heute macht?	- Yes, Mr Loew? - - Would you send Alva in here? - - She called in sick today, Mr Loew.	 
Lin says if we leave at first light, we'll reach the Gateway by noon.	Lin meint, wenn wir bei Tagesanbruch aufbrechen, sind wir mittags am Tor.	Did she happen to mention how she knows so much about the Gateway? - No, not really. - Kind of mysterious.	 
Welcome to Adair University. I'm Professor Higgins.	Willkommen an der Adair Universität, Sir.	We certainly hope you had a very pleasant trip here. - Would you like some refreshments? Is he all right? - He's dead.	 
You know the Sheriff of Rio Lobo and you know [pr] won't ask you.	Sie kennen den Sheriff von Rio Lobo. Sie wissen, er wird Sie nicht fragen.	I know. - The man who committed the murder was one of his deputies. - I'm sorry, miss.	 
An operation was not possible.	Operation war nicht mehr möglich.	Too bad about the man ... - An obstinate fat-head, but honest. - So was his skull not thick enough.	 
- An ass-Kisser is one who is a slave of [pr] boss.	Von wem hast du das? Ein Arschkriecher ist ein Diener des Arbeitgebers.	Who knows his boss? - The factory It's not like the hairdressers - This is why I work at my shop and not at the factory	 
An amulet that allows the wearer full control over...	Ein Amulett, welches dem Träger, die volle Kontrolle über...	Draconis! - The hideous Draconis, an all-powerful red dragon, crashes through the trees into the clearing. - Riding atop his shoulders, naked as the day he was born, and controlling Draconis with the amulet is...	 
Dr. Arden was in no condition to do any such thing.	Dr. Arden war nicht fähig, so etwas zu tun.	When I arrived, he was being rushed to the hospital. - Good. - I hope he dies.	 
No, we don't have an arrangement. An arrangement would require my cooperation, which we definitely do not have.	Bei einer Übereinkunft würde meine Kooperation erforderlich sein, die es auf keinen Fall gibt.	What we have is me as a passenger in my car all the time. - He has never been good with sharing. - - Really?	 
When I finally found Artie he's holed up in the local Ranch Motel waiting for Lennox, thanks to your friend Lane.	Als ich Artie schließlich fand war er im Longhorn Ranch Motel und wartete dank ihrer Freundin Lane auf Lennox.	His plan has come apart. Reality is setting in. - He thought I was gonna save him. - I drive us out to nowhere and then I tell him the truth.	 
By now, Colin Campbell was in graduate school at Cornell University, which had one of the most prestigious nutritional science departments in the country.	Campbell setzte sein Studium an der Cornell University fort. Ihr Fachbereich für Ernährungswissenschaften gehörte zu den angesehensten im Land.	His research was on animal nutrition and biochemistry. - But it was focused more on feeding animals for their ability to be able to produce meat, milk, and eggs, protein containing. - And so my own research was focused on protein, making sure we got enough.	 
I mean, I also didn't think to bring toilet paper, but I'm not, you know... An idiot.	Ich meine, ich hab auch vergessen, Klopapier mitzubringen, aber ich bin kein Idiot.	Exactly. - Right, because an idiot wouldn't wipe his ass with our only map. - No, an idiot would wipe his ass with our only compass.	 
Traded [pr] for a Harley when the transmission blew.	Tauschte sie gegen eine Harley, als das Getriebe hochging.	You know, when I asked you if Gibbs knew, I wasn't talking about your feelings for him. - I was asking if he knew you were sick. - Gonna lie to me now?	 
We're going to Aaron Riley's party.	Wir gehen auf Aaron Rileys Party.	This is fully... - Albert! - He should not be off-leash.	 
An old video of Ra's being revived by the Lazarus Pit.	Ein altes Video, wie Ra's in der Lazarusgrube wiederbelebt wird.	He's cheated death so many times... it's hard to accept that he failed to escape this time. - (SCREAMING) - My son's role model.	 
- An old friend is having a problem.	- Ein alter Freund hat ein Problem.	- Now? - - His parents have split up. - - Well, how old is he?	 
I wish I could help you, Agent Gibbs, but it could take weeks for the Defense Intelligence Agency to pour over Lieutenant Commander Casey's assignments to determine what can and cannot be released.	Ich wünschte, ich könnte Ihnen helfen, Agent Gibbs, aber es könnte Wochen dauern die Defense Agency Intelligenz über Leutnant gießen Commander Casey's Einsätze um festzustellen, was kann und kann nicht freigegeben werden.	Are you familiar with something called "Birdsong," Admiral? - The commander, he that wrote that in his own blood before he died. - Nothing comes to mind.	 
The memorial video you put together for Sergeant Riley, it was very moving.	Das Video, an Gedenken an Sgt. Riley, welches Du zusammengestellt hast, war sehr bewegend.	You know what's weird? - Sometimes I'll forget that he's gone. - I'll actually walk into the gate room, and turn my head, and then, for a split second, I'll wonder where the hell he is, and then I remember.	 
I'm Jaime Lannister of Casterly Rock, son of Tywin.	Ich bin Jaime Lannister von Casterly Rock, ...Sohn des Tywin.	A captive Knight has a right to know his captor's identity. - Brienne of Tarth.	 
You sound just like Jackie Sharp.	Sie klingen wie Jackie Sharp.	I'm actually working with her now. - - She's a powerful ally for us to have. - - After what she did to me?	 
Well, we don't know yet. We just know that [pr] was the last person seen with Joe Campbell.	Wir wissen nur dass sie die letzte war, die mit Joe Campbell gesehen wurde.	Joe... Joe Campbell? Yeah, he died the same way as John Doe. - Ohh... - I hadn't heard about Joe.	 
That's what Jaime and I would say to each other in our moments of doubt.	Das haben Jaime und ich uns eingeredet, als wir Momente des Zweifels hatten.	It's what I told Ned Stark when he was stupid enough to confront me. - Half the Targaryens went mad, didn't they? - What's the saying?	 
An impostor! Stealin' my stuff!	Unglaublich, der klaut meine Sachen.	How mortifying'! - How mortifying'! - He ain't get the feeling and a guest in my own domicile.	 
For example, there was the scene with the subway we shot in Milan.	Zum Beispiel gab's die Szene mit der U-Bahn, die wir in Mailand gedreht haben.	Dario had shot the whole scene. - When he was later editing in Rome he realized that he was missing the passing by of the subway in a few spots. - So he was essentially missing a few documentary-esque shots for the reversal cuts.	 
Um, we have a patient here of the doctor's one Andrew Campbell, and we just wanted to check and make sure our information is correct so that he's properly cared for.	Wir haben hier einen Patienten der Ärzte namens Andrew Campbell, und wollten sichergehen, dass unsere Informationen übereinstimmen, damit sich richtig um ihn gekümmert wird.	Well, any prescription drugs he should be taking any medical history that we should to be aware of, um.. Why don't, why don't we start with the basics? - Can you confirm his date and place of birth and social security number? - Right.	 
Ah Sol's clinic there is also called Po Chi Lam right?	Die Klinik von Ah Sol heißt auch Po Chi Lam, oder?	Exactly under the same name. - Having to go through this to pay him a visit, he must be joking. - Master, we ain't no need to live on beans anymore.	 
Okay, if the profile is faceless, Jackie will assume it was someone [pr] used to be friends with, Feel guilty [pr] forgot they exist,	Wenn das Profil gesichtslos ist, wird Jackie vermuten, dass es jemand sein wird, mit dem sie befreundet war, sie wird sich schuldig fühlen, weil sie vergessen hat, dass sie existiert, und wird die Freundschaftsanfrage annehmen.	Well, jackie is about to be reunited With one of her old pals. - You do the honors, tonya. - Aria, do you want to know the truth or not?	 
A guy like Campbell was never gonna be satisfied chauffeuring us around for very long.	Ein Typ wie Campbell würde sich nicht lange damit zufrieden geben, uns herum zu chauffieren.	Quinn must have known that. - The family's main source of revenue was illegal gambling and identity theft. - But Quinn had finally talked his old man into branching out.	 
- Please don't hurt my mother. - He's not going to hurt me, Robbie.	Er wird mir nichts tun, Robbie.	You get me all the cash you got, or I'm gonna slice her wide open. - - There's money in my bag. - - Go get it, pansy.	 
An arms dealer like Renner must have had dozens of offshore accounts.	Ein Waffenhändler wie Renner muss dutzende von Auslandskonten haben.	He'd have to keep track of that money. - So I ran a check. - He used internet cafés.	 
Selena wrote me often about Peyton Place, and I treasured [pr] letters.	Selena schrieb mir oft über Peyton Place und ich freute mich über ihre Briefe.	She always tried to mention my mother and tell me what people were saying to each other or were not saying. - Eventually, I broke the ice of my intentions and subscribed to the Peyton Place Times. - I was hungry for names that meant something to me.	 
An altogether more profitable line of work.	Eine ganz und gar profitables Betätigungsfeld .	After all, he's going to have to do something after he leaves office. - Is there any territorial dispute in the world he's not qualified to settle for a large salary from the luxury of a suite in a five-star hotel? - Lucky, isn't it, that he has a fund, waiting for his global good works?	 
And their leader, "Rio Ranki"!	Das ist ihr Anführer, Rio Ranki.	He's at the top. - I'm talking "RIYMAN KING". Sitting pretty on his beautiful Yen Town throne. - He looks pretty young to be.....	 
An unknown oriental girl was [pr] obsession.	Ein unbekanntes orientalisches Mädchen wurde seine Obsession.	Sam cast her as a Negro slave, only to find himself cast as a slave to her desires. - "Tense... exciting, enjoyable. " Times Literary Supplement. - The office attracted leading writers from all over Europe.	 
Jaime was taught to fight with sword and lance and mace, and I was taught to smile and sing and please.	Jaime wurde gelehrt, mit dem Schwert, der Lanze und der Keule zu kämpfen und ich wurde gelehrt, zu lächeln, zu singen und zu gefallen.	He was heir to Casterly Rock and I was sold to some stranger like a horse to be ridden whenever he desired. - You were Robert's queen. - And you will be Joffrey's.	 
Let Blair have [pr] evening, and wait for [pr] to tell you about it.	Lass Blair ihren Abend haben und warte, dass sie dir davon erzählt.	I'm sure she will if you give her a chance. - Hey, man, I think one of your girls slipped something in my drink. - Relax, kid, it's a party.	 
I asked Mr Marlowe to stay.	Ich bat Mr. Marlowe zu bleiben.	And there was no motive that he might have had for killing himself? - Why don't you get a couple of sand crabs, stick 'em up your nose and disappear? - You go and join him.	 
An hour ago you were drunk, and you remembered.	Als du betrunken warst, erinnertest du dich.	- What do they call you, boy? - - Phillipe Gaston. - Her name is Isabeau D'Anjou.	 
Well, you won't get them in Milan.	Die bekommst du in Mailand nicht.	It is Milan, right? - Gianni and Gianni. - Which is the one who still lives with his mum?	 
It's Jessie. Do not let [pr] in!	Lass sie nicht rein.	She can't handle this, honestly! - David, what the hell? Wh... - What is going on?	 
Remy laid out this plan.	Remy hatte sich den Plan ausgedacht.	It seemed easy. - We take her, force Helene and Ray to cough up the cash, then we put her back. You know? - Amanda gets to spend a weekend in the country. My sister learns a lesson. And fuck it, everybody gets paid on top of it.	 
- An almost incredible finish.	Ein unglaubliches Ende.	'With Mary in the bag, - 'Parratt realised it was time to turn his mind once more to serious things. - 'He hadn't touched his clubs since the Potter tragedy, 'and he needed practice.	 
Stevie, look at your baby sister.	Stevie, schau mal, deine kleine Schwester.	Isn't she beautiful? - - You sure surprised him! - - I've been planning it for months.	 
I'm Robbie, and I appreciate this.	Ich bin Robbie. Und ich weiß das zu schätzen.	We're all in this together, right? - What was that? - Uh, I was just delivering his lunch.	 
An OCP spokesperson has confirmed that Robocop has joined the terrorist rebel forces.	Es wurde bestätigt, dass RoboCop sich den Terroristen angeschlossen hat.	He is heavily armed and should be considered extremely dangerous. - On the... TV off. - Congratulations, sweet cheeks.	 
An ID of both your shooters... will play a whole lot easier come trial.	Wenn du beide Schützen identifizieren könntest,... würde uns das vor Gericht einiges leichter machen.	Yeah. - Sometimes things just got to play hard. - We hit his mama's house... and she says that he went up to Wabash for some court date.	 
Was it a big condition, Jackie?	War's eine schlimme Bedingung?	Not at all. You're having dinner with her next week. - Dennis, you've jumped the queue. What is it? - Jackie, it won't work.	 
No, Father. Krishna's a very bright child.	Nein, Pater, Krishna ist sehr intelligent.	He scores very good marks, he always gets A-plus grades. - He even does his homework without any help. - And that of other children too.	 
Uh, that's just my girlfriend Blair.	Uh, das ist nur meine Freundin Blair.	She loves variety and themes. - In fact, funny story-- um, being that the program is in Rome, she wanted us to have gelato, so she--she went out to get some since we didn't have any here. - Knowing, uh, miss Blair, she go to Chelsea market for best gelato in city.	 
Riley climbed out john's window. The alarm would Had to have been turned off for [pr] to do that.	Der Alarm musste dafür ausgeschaltet sein um das zu tun.	Thanks. - You gave her the code? We were up late watching tv. - She was supposed to reset it.	 
No, no, it's, it's Bryce Larkin.	Nein, nein, es ist Bryce Larkin.	I mean how could you not know Bryce Larkin? - Dude pretended to be his buddy, sexed up his girl, and got him kicked out of Stanford. - - If-if Chuck is Solo, Larkin is his Fett.	 
That does kind of look like whatever was behind Casey Miles, right?	Das sieht wie das aus, was auch immer hinter Casey war, richtig?	Or Garth if somebody shaved his face off. - Here we go. Uh, "Thinman -- "an urban legend started on the world wide web -- - "lurks in the background of his victims' lives until he's ready to kill them." Yeah, because everything started on the Internet is true.	 
You have to face that you didn't let Blair go.	Sie müssen sich dem stellen, dass Sie Blair nicht haben gehen lassen.	You lost her to someone else. - You don't know what I did. - But yes.	 
What about you and Jackie?	Was ist mit dir und Jackie?	You come up with anything on Mrs. Milo? - Ran her credit cards. - She's been checking into the Winston Hotel under her maiden name.	 
The Malum, the cause of the plague that decimates Salem even now.	Das Malum, die Ursache der Seuche, die Salem gerade dezimiert.	And proof I was right. - If only my father had listened to me. - If he believed me, we might have stopped the grand rite and he might yet live.	 
- Carey, you've got to have fun sometime.	- Du musst auch mal Spaß haben.	Your grandfather can'tjust tie you down all your life. - I know, but he'll be worried, and there's no telling what he might do. - He's been drinking again.	 
An old friend of mine was here just now.	Ein alter Freund war gerade hier.	We talked a lot about you. - He'd seen us together on the subway. - He just left.	 
But [pr] said [pr] name was Finley, not Blakely or McGregor.	Aber er sagte sein Name wäre Finley und nicht Blakely oder McGregor.	Thanks. - What are we looking for? - Papers, computers, phone records, bills-- anything that'll help us figure out what he was up to.	 
What's [pr] doing in Milan?	- Was treibt er in Mailand?	He's doing fine. - I saw him with an Aurelia Sport. - Yes, an Aurelia Sport.	 
Today I had come here to tell you something Kiran... and I am not going back till I say it.	- Ich bin hier, um dir etwas zu sagen. Ich gehe erst, wenn ich fertig bin.	What did you want to tell her even I would like to hear it. - Sir, I came here to tell her that I love her that I love her very much and I know that even she - I think you have got your answer now leave and never come back.	 
An Apache puts a fire under [pr] belly and gets [pr] back up on [pr] feet.	Ein Apache legt ihm Feuer unter den Bauch, damit es wieder aufsteht.	When the horse dies, he gets off, eats a bit of it and steals another. - I just don't like to think of people unprotected. - Yes, well it's best not to.	 
An hour ago, Kelly disappeared. - Disappeared?	Vor einer Stunde ist Kelly verschwunden.	- It's possible he was killed. - - And you think Alan is involved? - - Sweetie, I know Alan is involved.	 
These are the nights at Rio Rita, that's a night with Julietta.	So sind die Nächte bei Rio Rita, so sind die Nächte mit Julietta.	That's how love is, oh mamma mia, pay attention to your heart. - She wears a lovely dress. - Mine isn't good for you?	 
If Casey is going out on missions without us, then [pr] is doing so without the Intersect.	Wenn Casey ohne uns auf Mission geht,... - dann heißt das auch ohne Intersect.	You're right. - What if he gets in a jam? - What if he needs our help?	 
An unlikely ally in our fight.	Ein unwahrscheinlicher Verbündeter in unserem Kampf.	Let him know there may come a time when I collect on this favor. - Toran, Moor! - You crazy witch!	 
Isn't [pr] the one who came to see Nero yesterday? An arrogant man.	Ist das nicht der, der gestern zu Nero kam?	He bears watching. - He might bear watching at much closer range. - Poppaea, what are you muttering about?	 
So Larkin can only help to exonerate me.	Also kann Larkin mir nur helfen, mich zu entlasten.	And if the marriage counseling ends up in her report, so be it. - - We can survive that. - - But he prescribed us medication.	 
Here is mr. Trinidad's latest pre-op labs.	Hier sind Mr. Trinibads neuesten Ergebnisse vor der OP.	I told him you'd stop in to say hello before the surgery. - And unless there's anything else you can think of that I need to know, I was gonna run to get his consent form. - That pretty much covers it unless anybody has any questions.	 
When the film was released, I took my sister to the premiere in Milan.	Als der Film dann herauskam, ging ich mit meiner Schwester zur Premiere in Mailand.	She said: "What did you do to it?" It was totally battered. "My poor car!" - I replied: "What do you want?" "I returned it in perfect shape." - The tub scene was rather problematic.	 
Jaime scared away the men easily enough, while I wrapped [pr] in my cloak.	Jaime vertrieb die Männer, und ich wickelte sie in meinen Mantel.	She was too scared to send off on her own, so while Jaime hunted down the rapers I took her to the nearest inn and fed her. - Her name was Tysha. - She was a wheelwright's orphan.	 
The Lakota believe everything on earth has a spirit.	Die Lakota glauben, daß alles was auf der Erde ist einen Geist hat.	The stones, plants,... animals and people. - If we kill an animal, we ask his spirit for forgiveness. - Some animals have bad spirits... they will not forgive.	 
Artie acts like [pr] doesn't care, But [pr] does--about you both--a lot.	Artie tut so, als würde er sich nicht kümmern, aber das tut er,... um euch beide, sehr.	And that scares him. - Well, I guess he needs to work that out, doesn't he? - You know, just because he lost people, It doesn't make us expendable.	 
- Seneca, what are you doing?	Seneca, was treibst du?	I was just teaching her to write. - Why? - You might have welcomed me home.	 
I was telling Casey the truth.	Ich habe Casey die Wahrheit gesagt.	I leveraged Rocky Falcone to give up his supplier. - Pedro St. Germain is notorious. - All guns and narcotics that come up from the South flow through him.	 
I saw [pr] at the Rio Rita.	Den habe ich in der Rio Rita gesehen.	Completely pissed. - But why is he after you? - - Why after me?	 
An evil sorceress from my kingdom determined to do everything in [pr] power to keep me apart from Aurora, my true love.	Eine böse Zauberin aus meinem Reich tat alles, was in ihrer Macht stand, um mich von Aurora zu trennen, meiner wahren Liebe.	So she exiled me to this land and turned me into a monster. - I tried to warn the villagers, but... no one understood what I really was. - Except you.	 
We were deadlocked for a week, between the Cardinal of Valencia and the Cardinal of Milan.	Wir konnten uns eine Woche nicht entscheiden zwischen dem Kardinal von Valencia und dem Kardinal von Mailand.	It was getting so acrimonious, we decided to pick a compromise candidate at random from the newspaper. - Once conclave begins, no communication is allowed with the outside world, and the only newspaper we had was the real estate section of the Miami Herald. - We chose Genevieve because her name has a nice Catholic ring to it.	 
Joan Campbell has been relieved of [pr] duties.	Joan Campbell wurde von ihren Aufgaben entbunden.	I'm addressing you because I've been assigned as her interim replacement. - The most pressing matter for all of us is operative Annie Walker. - She's off the grid, and European authorities want her arrested.	 
For example, if the reunion is combined with an official visit to Milan and Vienna, that would be a great move concerning the relations between Austria and Italy.	Wenn man dieses Wiedersehen mit einem offiziellen Besuch... in Mailand und Venedig verbinden würde, so wäre dies ein wunderbarer Schachzug, der sich auf die Beziehungen Österreichs zu Lombardo-Venetien... günstig auswirken würde.	Even Your Majesty once chose to say that the charm of Her Majesty is of more use to the country than the army with all its generals. - Yes, but Excellence seems to forget that Her Majesty has just recovered from a very grave sickness, and therefore might not be able to cope with the stress of a representative journey. Certainly, Your Majesty. - But the relations between Austria and Italy are at the moment so bad that one must make every sacrifice to better them.	 
You know, Mr Campbell, when I got shot they gave me a medal.	Wissen Sie, Mr. Campbell, als ich angeschossen wurde, habe ich eine Medaille bekommen.	No medal for you I bet. - Mr Shelby, our reunion is part of a very carefully worked out plan, which has been in place for some time now. - Every time you lean on that stick I bet you see her face.	 
An old friend of yours phoned, and [pr] wanted your number to surprise you.	Ein alter Freund von Ihnen rief an und wollte Ihre Nummer, um Sie zu überraschen.	Did he mention his name? - No, no, no. - You did the right thing.	 
- Finley -  [pr] locked me in this room, saying he's protecting me.	- Finley -- er sperrte mich in diesen Raum, sagte er wolle mich beschützen.	Can you get me out of here? - Does MacGyver blush every time he walks past me? - I'll get something to jimmy the lock.	 
An alliance that led to Garza's murder.	Eine Allianz die zu Garzas Mörder führt.	All brokered by councilman Booth and his little lap dog. - Turns out that Garza tried to send me a fax the night he died. - Miguel Dominguez?	 
You are truly a good woman. An honest woman.	Du bist eine gute Person, so ehrlich.	Not at all. - This watch belonged to her. - It's old-fashioned, I believe, but she used it since she was your age.	 
Although, one boy, Robbie Fenwick, did bite my father once.	Obwohl, einmal ist mein Vater von einem Jungen, Bobbie Fenwick, gebissen worden.	He needed 10 stitches. - Miss Weasley. Come in, come in. - Look at her eyes.	 
[pr] was a woman. An unknown force in the Nobel-environment.	Sie war eine unbekannte Frau mit Macht in der Nobelpreis-Welt.	Exact. - Unknown. - She died during the Nobel Festival, while she was dancing in the Golden Hall.	 
An anarchist in my house!	Ein Anarchist in meiner Villa!	He has to go! - I thought you might drive out there, as my lawyer. - To see if the crocuses are out?	 
An intern at Canning's firm.	Eine Praktikantin aus Cannings Kanzlei.	Damn, if we could undercut Canning by subpoenaing her... - That's playing on his battlefield. - We need to pull him onto ours.	 
I guess Lennie done it, all right.	Ich denke mal, es war Lennie.	Her... - Her neck's bust. - Lennie could've done that?	 
An exorcism... performed by [pr] dolt of a father, no doubt.	- Ein Exorzismus, durchgeführt von ihrem Trottel von Vater, kein Zweifel.	So we must replace it. - And yet why would she accept it a second time? - She wouldn't, unless there is some part of the girl to which we can appeal.	 
How long have you known Remy?	Wie lange kennen Sie Remy?	Detective Bressant? - Just in... Met him through the investigation of Amanda. - - That's it?	 
And [pr] brother Jaime Lannister, the Kingslayer.	"Und ihr Bruder Jaime Lannister, der Königsmörder.	By right of birth and blood, I do this day lay claim--" - Stannis: Make it Ser Jaime Lannister, the Kingslayer. - Whatever else he is, the man's still a knight.	 
An actor that I have ... a great deal of respect for.	Einer der Schauspieler, vor denen ich Respekt habe.	You're playing Trivial Pursuit? - And then he comes over for some cake, and ... Cool. - I'm really struggling here.	 
Why do you stay with him, Jackie?	Warum bleibst du bei ihm, Jackie?	He causes you so much pain. - I love him, Maggie. - I'm nothing without him.	 
Remember that skinny pockmarked kid from Trinidad?	Erinnerst du dich an diesen dünnen, pockennarbigen Jungen aus Trinidad?	You told him it's not enough to hit back. - No, you need to put your enemy in the ground. - I haven't forgotten.	 
An ex-congressman of these United States... said at the Chautauqua this winter... Indians is the Lost Tribe.	Ein ehemaliger Kongressabgeordneter... sagte diesen Winter in Chautauqua... die Indianer seien der verlorene Stamm Israels.	- But he won't admit it. - - Just ain't true! - He was an ex-congressman of these United States!	 
- So now BBDO has all of Campbell's Soup?	- Also hat BBDO jetzt Campbell's Soup?	- Why didn't we have a meeting with them? - Perhaps I should drag Burt Peterson in and fire him again? - - Obviously Don would've loved a shot.	 
Sol Negro needed money for [pr] family. Planned to take it from a liquor store on San Marcos but the shop owner hated Mexicans.	Sol Negro hat das Geld gebraucht... wollte einen Spirituosenladen ausrauben... aber der Besitzer hasste Mexikaner.	Pulled a gun. - - Sol Negro shot him in the neck. - - I remember that.	 
An evil man, a powerful man, hated and feared;	Ein böser und mächtiger Mann, gehasst und gefürchtet.	Rejected even by Rome itself. - He called upon the powers of darkness for the means to damn the lovers. - In his fury and frustration, he struck a dreadful bargain with the Evil One	 
Mather did all but promise to lead a crusade against the witches of Salem, and they would treat you far worse than the Inquisition treated Galileo.	Das stimmt. Mather hat fast schon versprochen den Kreuzzug gegen die Hexen von Salem anzuführen, und sie würden dich schlechter behandeln als die Inquisition Galileo behandelt hat.	They would burn you like Bruno. - Well, then unless you wish to see me martyred for our science, there can be nothing that leads back to me. - It is not my papers that will lead him back to you but what we saw in the crags.	 
Charlie just did something and Jackie could do the exact imitation of it.	Charlie machte einfach etwas und Jackie konnte das genau imitieren.	By a strange chance, I saw The Kid last night and I am once again convinced it is his best work. - That intensity when there's the threat that the Kid is going to be taken to an institution, I think that has to come out of his own childhood his own feelings, his own memories of being taken off separated from his mother and his brother and incarcerated in an institution. - And I think that that is what gives The Kid its peculiar intensity.	 
We need to talk about Jackie.	Wir müssen über Jackie reden.	Previously on Nurse Jackie- - - What do we got? - Female, 50. She was hit by a cab. - Oh, Jesus, Helen.	 
Colonel Casey, are you certain you're up for a mission?	Colonel Casey, sind Sie sicher, dass Sie bereit für eine Mission sind?	He seems to be pretty determined. I think he is. (beeping) - CHUCK (coughs): Casey. - You could have told me that when you said this place was a "godforsaken slime hole," you were speaking literally.	 
You know, it wasn't the home run we hoped for, but you did great, Jackie.	Es war zwar nicht der Erfolg, den wir uns erhofft haben, aber Sie haben sich gut geschlagen, Jackie.	She spent half the debate on the defensive. - - I humiliated myself. - - You got a little beat up, that's all.	 
What's the link between me and Remy?	Was habe ich mit Rémy zu tun?	I have some pictures I'd like your opinion of. - He was tortured? - For several hours.	 
The kind that'll keep you from suffering like Madam St Clair.	Solche, die Sie vor einem Schicksal wie Madam St. Clairs bewahren.	If a man wants to be successful in this business, he has to make alliances. - - You got judges? - - Even better.	 
You need to call Blair right now and tell [pr] to release my wife and daughter.	Sie müssen Blair sofort anrufen... und ihm sagen, er soll meine Frau und meine Tochter freilassen. Das wird er nicht tun.	He won't do it. - He's too nervous. About the President... - You.	 
And you're telling me this is the guy? This is the guy that discovered Naomi Campbell?	Und du willst mir erzählen, dieser Kerl entdeckte also Naomi Campbell?	He did not discover her. - His bredren did. - What's wrong with you?	 
An indigent died.  [pr] had no family.	Ein Mittelloser starb.	Nobody. - He was going to be shipped to the morgue where he'd be cremated. - It was meant to be:	 
An insensitive mother, a loving father taken from [pr] too soon.	Eine gefühllose Mutter, einen liebenden Vater, der ihr zu früh genommen wurde.	It took 20 years to create her. - A sensitive, caring woman, eager to help those in need because she herself had overcome such a troubled past. - The kind of woman who couldn't help but fall in love with a man like you...	 
An expert in special warfare.	Experte für spezielle Kriegführung.	He's linked to a number of terror attacks all around the world. - All right, he's unpleasant. What of him? - Well, we believe he entered the country with the purpose of finding that painting.	 
Stevie's already been hyping me to this guy Paul Block, the group's manager.	Stevie preist mich schon bei Paul Block an, dem Manager der Gruppe.	Told him that I'm an expatriate who's been performing in New Zealand and Australia for the last 5 years. - But you can't sing, can you? - Are you kiddin'? Before I joined the academy, I used to sing all the time.	 
A multiple personality wanted for murder Jessie adopted the persona of the costumed psychopath known as the Trickster.	Eine wegen Mordes angeklagte multiple Persönlichkeit. Jessie nahm die Persönlichkeit des kostümierten Psychopathen an, bekannt als Trickster.	His days of violent mayhem in Central City were ended by fem private eye Megan Lockhart. - [SIREN WAILS] - [CHATTERING]	 
Vanessa, have you met Colonel Blair?	Vanessa, hast du schon Colonel Blair kennengelernt?	Not in person, but I read about your appointment to the NSA. - I loved your brother very much. - He would have been President someday.	 
We were forced to indict St. Clair a lot sooner than we would have liked. Yeah.	Wir waren gezwungen, St. Clair viel früher anzuklagen als wir geplant hatten.	Why is that? - Well, he recently bought property in Montenegro, and we were worried he was going to flee the country. - Randy St. Clair is a well-liked guy... powerful friends in the mayor's office and the media.	 
Ladies and gentlemen of the jury, Mr. Casey has stated the facts... and we don't dispute one word of what [pr] said.	Mr. Casey hat die Fakten dargelegt, und wir bestreiten kein Wort seiner Ausführung.	However, you have to be crazy to shoot three cops... and Jordan Washington is not crazy. - What Mr. Casey has left out is that my client was fighting for his life. - What my client has left out is that my client was going to be executed.	 
